Date,Day,ADR Model,ADR Conf,ADR Sess,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR Model,ODR BOX,ODR CONFO,ODR TRUERUE,ODR Confirmation Time,ODR Max Ext,ODR Max Ret,odr_false_conf_time,odr_end_of_session_SD,ODR END OF SESSION LOCATION,ODR Mid Trans,ODR Mid Box,ODR Mid Session,RDR Model,RDR BOX,RDR IDR MID,RDR DR MID,RDR Conf,RDR Sess,ADR MID RDR Trans,ADR MID RDR BOX,ADR MID RDR SESSION
2008-04-30,Wednesday,DXP,Long,TRUE,intact,broken,broken,RX,RED,Long,TRUE,08:15,0.1942,0.0097,,0.0097,above,intact,intact,broken,UXP,RED,0.28,0.29,Short,TRUE,intact,intact,broken
2008-05-01,Thursday,DXP,Long,FALSE,intact,broken,intact,D,RED,Short,TRUE,04:15,1.8406,0.2609,,1.7971,below,intact,intact,intact,DXP,RED,2.31,2.37,Short,TRUE,intact,intact,intact
2008-05-02,Friday,RC,Short,TRUE,intact,broken,broken,DX,Neutral,Long,TRUE,04:15,9.4444,1.4444,,8.3333,above,intact,intact,intact,UXP,GREEN,9,8.58,Long,TRUE,intact,intact,intact
2008-05-05,Monday,UXP,Long,TRUE,intact,intact,intact,UXP,GREEN,Long,TRUE,04:10,1.119,-1.0952,,-0.5,inside,broken,intact,intact,UXP,GREEN,4.91,4.59,Long,TRUE,intact,intact,intact
2008-05-06,Tuesday,UXP,Long,TRUE,intact,broken,broken,U,GREEN,Long,FALSE,04:10,0.5972,-1.625,06:35,-1.5278,below,broken,intact,intact,UXP,GREEN,1,0.9,Long,TRUE,broken,intact,intact
2008-05-07,Wednesday,RC,Short,FALSE,intact,broken,broken,UX,GREEN,Short,TRUE,06:05,1.1569,-1,,-0.549,inside,broken,broken,broken,D,RED,-0.14,-0.22,Short,FALSE,broken,broken,broken
2008-05-08,Thursday,UXP,Short,TRUE,intact,intact,broken,DXP,RED,Short,FALSE,04:15,2.1429,-3.2857,05:55,-1.2857,above,broken,broken,broken,D,RED,0.59,0.66,Long,FALSE,broken,intact,broken
2008-05-09,Friday,UXP,Long,TRUE,intact,broken,broken,U,GREEN,Long,TRUE,04:45,4.2941,-0.0294,,1.8235,above,intact,intact,intact,UXP,RED,1.73,1.83,Long,TRUE,intact,intact,intact
2008-05-12,Monday,UXP,Short,TRUE,intact,intact,intact,DXP,RED,Short,TRUE,04:10,5.6071,-0.4286,,4.3929,below,intact,intact,broken,DXP,GREEN,1.94,1.83,Long,FALSE,intact,intact,broken
2008-05-13,Tuesday,DXP,Short,TRUE,intact,broken,broken,RX,GREEN,Short,FALSE,04:40,0.4545,-2.6545,07:40,-2.0909,above,intact,intact,intact,UX,GREEN,-1.25,-1.36,Long,TRUE,broken,broken,intact
2008-05-14,Wednesday,UXP,Short,TRUE,intact,intact,broken,DXP,RED,Long,FALSE,04:55,0.7895,-1.6842,06:30,-0.1053,inside,broken,intact,broken,DXP,RED,-2.72,-2.73,Long,FALSE,intact,intact,intact
2008-05-15,Thursday,DXP,Short,FALSE,intact,intact,intact,UXP,RED,Long,TRUE,05:00,1.9688,-0.5938,,1.6563,above,intact,intact,broken,UXP,RED,3.67,3.54,Short,TRUE,intact,intact,broken
2008-05-16,Friday,DXP,Long,TRUE,intact,broken,broken,U,RED,Short,FALSE,04:30,0.7021,-6.4043,05:10,-5.1064,above,intact,intact,intact,UXP,RED,-5.26,-5.28,Short,TRUE,intact,intact,intact
2008-05-19,Monday,DX,Long,FALSE,broken,broken,broken,RX,GREEN,Short,FALSE,04:05,1.8776,-2.6735,07:10,-1.7755,above,broken,broken,broken,U,GREEN,-0.82,-0.75,Long,FALSE,broken,broken,broken
2008-05-20,Tuesday,RC,Long,TRUE,broken,broken,broken,RX,RED,Short,FALSE,04:10,0.9091,-1.9394,04:30,-1.1818,above,intact,intact,intact,UXP,GREEN,-6.19,-6.52,Short,TRUE,intact,intact,intact
2008-05-21,Wednesday,UXP,Short,FALSE,broken,intact,intact,UXP,GREEN,Long,TRUE,04:10,3.9286,-0.2143,,1.6071,above,broken,broken,broken,RX,RED,-0.93,-0.72,Long,TRUE,broken,broken,broken
2008-05-22,Thursday,UXP,Long,TRUE,intact,broken,broken,U,RED,Long,FALSE,04:55,1.3333,-3,06:50,0.2564,inside,broken,intact,intact,DXP,RED,-4.84,-4.68,Short,TRUE,broken,intact,intact
